Chelsea,West Brom,1-0
Charlton,Tottenham,2-0
Liverpool,Blackburn,0-0
Blackburn,Arsenal,0-1
Bolton,Norwich,1-0
Charlton,West Brom,1-4
Chelsea,Crystal Palace,4-1
Man United,Fulham,1-0
Portsmouth,Newcastle,1-1
Tottenham,Man City,2-1
Birmingham,Aston Villa,2-0
Liverpool,Everton,2-1
Middlesbrough,Southampton,1-3
Arsenal,Norwich,4-1
Birmingham,Tottenham,1-1
Charlton,Man City,2-2
Crystal Palace,Middlesbrough,0-1
Liverpool,Bolton,1-0
Man United,Blackburn,0-0
Newcastle,Aston Villa,0-3
Southampton,Chelsea,1-3
Fulham,Portsmouth,3-1
West Brom,Everton,1-0
Blackburn,Southampton,3-0
Bolton,Fulham,3-1
Chelsea,Birmingham,1-1
Man City,Liverpool,1-0
Middlesbrough,Arsenal,0-1
Norwich,Man United,2-0
Portsmouth,Charlton,4-2
Aston Villa,West Brom,1-1
Everton,Crystal Palace,4-0
Tottenham,Newcastle,1-0
Birmingham,Portsmouth,0-0
Charlton,Bolton,1-2
Crystal Palace,Norwich,3-3
Fulham,Man City,1-1
Liverpool,Tottenham,2-2
Southampton,Aston Villa,2-3
Bolton,Southampton,1-1
Middlesbrough,Fulham,1-1
Aston Villa,Charlton,0-0
Blackburn,Crystal Palace,1-0
Chelsea,Arsenal,0-0
Everton,Man United,1-0
Man City,Birmingham,3-0
Norwich,Newcastle,2-1
Portsmouth,Liverpool,1-2
Tottenham,West Brom,1-1
Aston Villa,Bolton,1-1
Blackburn,Man City,0-0
Chelsea,Fulham,3-1
Crystal Palace,Liverpool,1-0
Everton,Birmingham,1-1
Middlesbrough,West Brom,4-0
Norwich,Charlton,1-0
Man United,Newcastle,2-1
Portsmouth,Southampton,4-1
Arsenal,Tottenham,1-0
West Brom,Blackburn,1-1
Newcastle,Middlesbrough,0-0
Birmingham,Blackburn,2-1
Bolton,Chelsea,0-2
Fulham,Everton,2-0
Liverpool,Middlesbrough,1-1
Man City,Portsmouth,2-0
Newcastle,Crystal Palace,0-0
Southampton,Norwich,4-3
Charlton,Man United,0-4
Tottenham,Aston Villa,5-1
West Brom,Arsenal,0-2
Fulham,Newcastle,1-3
Aston Villa,Man City,1-2
Blackburn,Fulham,1-3
Chelsea,Charlton,1-0
Crystal Palace,Southampton,2-2
Everton,Newcastle,2-0
Man United,West Brom,1-1
Middlesbrough,Tottenham,1-0
Norwich,Birmingham,1-0
Portsmouth,Bolton,1-1
Arsenal,Liverpool,3-1
Man United,Chelsea,1-3
Arsenal,Everton,7-0
Birmingham,Arsenal,2-1
Bolton,Everton,3-2
Charlton,Crystal Palace,2-2
Fulham,Norwich,6-0
Liverpool,Aston Villa,2-1
Man City,Middlesbrough,1-1
Newcastle,Chelsea,1-1
Southampton,Man United,1-2
