Hamburger SV,Bayer Leverkusen,1-0
Bor. Mönchengladbach,VfL Wolfsburg,1-0
Hannover 96,Hansa Rostock,0-1
VfL Bochum,FC Schalke 04,0-2
Bayern München,Werder Bremen,1-0
Hertha BSC,FC Kaiserslautern,1-1
FC Nürnberg,Borussia Dortmund,2-2
Werder Bremen,FSV Mainz 05,0-0
Hansa Rostock,VfL Bochum,3-1
VfL Wolfsburg,Hannover 96,1-0
FC Kaiserslautern,Bor. Mönchengladbach,1-0
Bayer Leverkusen,Hertha BSC,3-3
Arminia Bielefeld,Hamburger SV,3-4
SC Freiburg,FC Nürnberg,2-3
FC Schalke 04,Bayern München,1-0
Borussia Dortmund,VfB Stuttgart,0-2
Bayer Leverkusen,FC Kaiserslautern,2-0
Hamburger SV,Borussia Dortmund,2-3
Hertha BSC,Arminia Bielefeld,3-0
Hannover 96,Bor. Mönchengladbach,2-1
VfL Bochum,VfL Wolfsburg,5-1
Bayern München,Hansa Rostock,3-1
FC Nürnberg,Werder Bremen,1-2
VfB Stuttgart,SC Freiburg,1-0
FSV Mainz 05,FC Schalke 04,2-1
Hansa Rostock,FSV Mainz 05,2-0
VfL Wolfsburg,Bayern München,0-3
FC Kaiserslautern,Hannover 96,0-2
Arminia Bielefeld,Bayer Leverkusen,1-0
SC Freiburg,Hamburger SV,1-1
Werder Bremen,VfB Stuttgart,1-2
FC Schalke 04,FC Nürnberg,4-1
Bor. Mönchengladbach,VfL Bochum,2-2
Borussia Dortmund,Hertha BSC,2-1
Hertha BSC,SC Freiburg,3-1
Bayer Leverkusen,Borussia Dortmund,0-1
VfL Bochum,Hannover 96,1-0
Bayern München,Bor. Mönchengladbach,2-1
FSV Mainz 05,VfL Wolfsburg,0-2
VfB Stuttgart,FC Schalke 04,3-0
Hamburger SV,Werder Bremen,1-2
Arminia Bielefeld,FC Kaiserslautern,0-2
FC Nürnberg,Hansa Rostock,3-0
Bor. Mönchengladbach,FSV Mainz 05,1-1
Hannover 96,Bayern München,0-1
Borussia Dortmund,Arminia Bielefeld,1-1
SC Freiburg,Bayer Leverkusen,1-3
Werder Bremen,Hertha BSC,0-1
FC Schalke 04,Hamburger SV,1-2
Hansa Rostock,VfB Stuttgart,2-1
FC Kaiserslautern,VfL Bochum,1-2
VfL Wolfsburg,FC Nürnberg,0-1
Borussia Dortmund,FC Kaiserslautern,4-2
Arminia Bielefeld,SC Freiburg,3-1
Bayern München,VfL Bochum,3-1
FSV Mainz 05,Hannover 96,2-0
VfB Stuttgart,VfL Wolfsburg,0-0
Hamburger SV,Hansa Rostock,3-0
Hertha BSC,FC Schalke 04,4-1
FC Nürnberg,Bor. Mönchengladbach,0-0
Bayer Leverkusen,Werder Bremen,2-1
VfL Bochum,FSV Mainz 05,2-6
FC Kaiserslautern,Bayern München,0-4
SC Freiburg,Borussia Dortmund,2-2
Werder Bremen,Arminia Bielefeld,3-0
FC Schalke 04,Bayer Leverkusen,3-3
Hansa Rostock,Hertha BSC,2-1
Bor. Mönchengladbach,VfB Stuttgart,2-0
VfL Wolfsburg,Hamburger SV,1-0
Hannover 96,FC Nürnberg,1-0
SC Freiburg,FC Kaiserslautern,1-2
FSV Mainz 05,Bayern München,2-4
FC Nürnberg,VfL Bochum,2-1
VfB Stuttgart,Hannover 96,1-0
Hertha BSC,VfL Wolfsburg,3-1
Bayer Leverkusen,Hansa Rostock,3-0
Arminia Bielefeld,FC Schalke 04,0-2
Hamburger SV,Bor. Mönchengladbach,0-0
Borussia Dortmund,Werder Bremen,1-0
FSV Mainz 05,FC Kaiserslautern,3-2
Werder Bremen,SC Freiburg,4-1
FC Schalke 04,Borussia Dortmund,1-2
Hansa Rostock,Arminia Bielefeld,1-1
VfL Wolfsburg,Bayer Leverkusen,2-2
Bor. Mönchengladbach,Hertha BSC,0-0
Hannover 96,Hamburger SV,2-1
VfL Bochum,VfB Stuttgart,2-0
Bayern München,FC Nürnberg,6-3
FC Nürnberg,FSV Mainz 05,1-2
VfB Stuttgart,Bayern München,1-3
Hamburger SV,VfL Bochum,0-1
Hertha BSC,Hannover 96,0-0
Bayer Leverkusen,Bor. Mönchengladbach,5-1
Arminia Bielefeld,VfL Wolfsburg,1-2
Borussia Dortmund,Hansa Rostock,2-1
SC Freiburg,FC Schalke 04,2-3
FC Kaiserslautern,Werder Bremen,1-2
Bayern München,Bor. Mönchengladbach,3-0
Hamburger SV,FC Nürnberg,3-0
FC Köln,FSV Mainz 05,1-0
MSV Duisburg,VfB Stuttgart,1-1
VfL Wolfsburg,Borussia Dortmund,2-2
Hannover 96,Hertha BSC,2-2
Werder Bremen,Arminia Bielefeld,5-2
FC Schalke 04,FC Kaiserslautern,2-1
Eintracht Frankfurt,Bayer Leverkusen,1-4
Hertha BSC,Eintracht Frankfurt,2-0
Bayer Leverkusen,Bayern München,2-5
Bor. Mönchengladbach,VfL Wolfsburg,1-1
Borussia Dortmund,FC Schalke 04,1-2
FC Kaiserslautern,MSV Duisburg,5-3
Arminia Bielefeld,Hamburger SV,0-2
FC Nürnberg,Hannover 96,1-1
VfB Stuttgart,FC Köln,2-3
FSV Mainz 05,Werder Bremen,0-2
Hamburger SV,Hannover 96,1-1
FC Köln,FC Kaiserslautern,2-3
FC Schalke 04,Bor. Mönchengladbach,1-1
VfL Wolfsburg,Bayer Leverkusen,2-1
Bayern München,Hertha BSC,3-0
Eintracht Frankfurt,FC Nürnberg,1-0
Werder Bremen,VfB Stuttgart,1-1
MSV Duisburg,Borussia Dortmund,1-1
Arminia Bielefeld,FSV Mainz 05,2-0
Bayer Leverkusen,FC Schalke 04,1-1
Bor. Mönchengladbach,MSV Duisburg,2-1
FC Kaiserslautern,Werder Bremen,1-5
VfB Stuttgart,Arminia Bielefeld,1-1
FSV Mainz 05,Hamburger SV,1-3
Hannover 96,Eintracht Frankfurt,2-0
FC Nürnberg,Bayern München,1-2
Hertha BSC,VfL Wolfsburg,3-0
Borussia Dortmund,FC Köln,2-1
Hamburger SV,Eintracht Frankfurt,1-1
FC Köln,Bor. Mönchengladbach,2-1
VfL Wolfsburg,FC Nürnberg,1-1
Bayern München,Hannover 96,1-0
FSV Mainz 05,VfB Stuttgart,1-2
Arminia Bielefeld,FC Kaiserslautern,0-0
Werder Bremen,Borussia Dortmund,3-2
MSV Duisburg,Bayer Leverkusen,1-3
FC Schalke 04,Hertha BSC,0-0
Bor. Mönchengladbach,Werder Bremen,2-1
Borussia Dortmund,Arminia Bielefeld,2-0
Eintracht Frankfurt,Bayern München,0-1
Hannover 96,VfL Wolfsburg,2-4
Hertha BSC,MSV Duisburg,3-2
Bayer Leverkusen,FC Köln,2-1
FC Kaiserslautern,FSV Mainz 05,0-2
VfB Stuttgart,Hamburger SV,1-2
FC Nürnberg,FC Schalke 04,1-1
Hamburger SV,Bayern München,2-0
MSV Duisburg,FC Nürnberg,1-0
FC Schalke 04,Hannover 96,2-0
VfL Wolfsburg,Eintracht Frankfurt,1-0
FSV Mainz 05,Borussia Dortmund,1-1
Arminia Bielefeld,Bor. Mönchengladbach,0-2
Werder Bremen,Bayer Leverkusen,2-1
FC Köln,Hertha BSC,0-1
VfB Stuttgart,FC Kaiserslautern,1-0
Hertha BSC,Werder Bremen,1-2
Bayer Leverkusen,Arminia Bielefeld,1-1
Bor. Mönchengladbach,FSV Mainz 05,1-0
Bayern München,VfL Wolfsburg,2-0
Eintracht Frankfurt,FC Schalke 04,0-1
Hannover 96,MSV Duisburg,1-1
FC Nürnberg,FC Köln,2-1
Borussia Dortmund,VfB Stuttgart,0-0
FC Kaiserslautern,Hamburger SV,0-3
Hamburger SV,VfL Wolfsburg,0-1
FC Schalke 04,Bayern München,1-1
FC Kaiserslautern,Borussia Dortmund,3-3
VfB Stuttgart,Bor. Mönchengladbach,1-1
FSV Mainz 05,Bayer Leverkusen,3-1
Arminia Bielefeld,Hertha BSC,3-0
Werder Bremen,FC Nürnberg,6-2
FC Köln,Hannover 96,1-4
MSV Duisburg,Eintracht Frankfurt,0-1
Hertha BSC,FSV Mainz 05,3-1
Bor. Mönchengladbach,FC Kaiserslautern,4-1
VfL Wolfsburg,FC Schalke 04,0-0
Bayern München,MSV Duisburg,4-0
Eintracht Frankfurt,FC Köln,6-3
Hannover 96,Werder Bremen,0-0
FC Nürnberg,Arminia Bielefeld,2-3
Bayer Leverkusen,VfB Stuttgart,1-1
Borussia Dortmund,Hamburger SV,1-1
Hamburger SV,FC Schalke 04,1-0
FC Köln,Bayern München,1-2
MSV Duisburg,VfL Wolfsburg,1-0
Borussia Dortmund,Bor. Mönchengladbach,2-1
FC Kaiserslautern,Bayer Leverkusen,2-2
VfB Stuttgart,Hertha BSC,3-3
Werder Bremen,Eintracht Frankfurt,4-1
FSV Mainz 05,FC Nürnberg,4-1
Arminia Bielefeld,Hannover 96,4-1
Hertha BSC,FC Kaiserslautern,3-0
Bayer Leverkusen,Borussia Dortmund,2-1
FC Schalke 04,MSV Duisburg,3-0
VfL Wolfsburg,FC Köln,1-1
Bayern München,Werder Bremen,3-1
Eintracht Frankfurt,Arminia Bielefeld,3-0
Hannover 96,FSV Mainz 05,2-2
Bor. Mönchengladbach,Hamburger SV,0-0
FC Nürnberg,VfB Stuttgart,0-1
FC Köln,FC Schalke 04,2-2
Bor. Mönchengladbach,Bayer Leverkusen,1-1
Borussia Dortmund,Hertha BSC,2-0
FC Kaiserslautern,FC Nürnberg,1-3
FSV Mainz 05,Eintracht Frankfurt,2-2
Arminia Bielefeld,Bayern München,1-2
Werder Bremen,VfL Wolfsburg,6-1
Hamburger SV,MSV Duisburg,2-0
VfB Stuttgart,Hannover 96,2-2
Bayer Leverkusen,Hamburger SV,0-1
FC Schalke 04,Werder Bremen,2-1
VfL Wolfsburg,Arminia Bielefeld,0-0
Bayern München,FSV Mainz 05,2-1
Hannover 96,FC Kaiserslautern,5-1
FC Nürnberg,Borussia Dortmund,1-2
Hertha BSC,Bor. Mönchengladbach,2-2
Eintracht Frankfurt,VfB Stuttgart,1-1
MSV Duisburg,FC Köln,1-1
Hamburger SV,FC Köln,3-1
Bor. Mönchengladbach,FC Nürnberg,0-1
Borussia Dortmund,Hannover 96,0-2
VfB Stuttgart,Bayern München,0-0
Arminia Bielefeld,FC Schalke 04,0-1
Werder Bremen,MSV Duisburg,2-0
Bayer Leverkusen,Hertha BSC,1-2
FSV Mainz 05,VfL Wolfsburg,5-1
FC Kaiserslautern,Eintracht Frankfurt,1-2
Hamburger SV,Hertha BSC,2-1
MSV Duisburg,Arminia Bielefeld,1-1
FC Schalke 04,FSV Mainz 05,1-0
VfL Wolfsburg,VfB Stuttgart,0-1
Eintracht Frankfurt,Borussia Dortmund,2-0
Hannover 96,Bor. Mönchengladbach,1-1
FC Nürnberg,Bayer Leverkusen,1-1
FC Köln,Werder Bremen,1-4
Bayern München,FC Kaiserslautern,2-1
Bayer Leverkusen,Hannover 96,0-0
Bor. Mönchengladbach,Eintracht Frankfurt,4-3
Borussia Dortmund,Bayern München,1-2
FC Kaiserslautern,VfL Wolfsburg,3-2
VfB Stuttgart,FC Schalke 04,2-0
FSV Mainz 05,MSV Duisburg,1-1
Arminia Bielefeld,FC Köln,3-2
Hertha BSC,FC Nürnberg,1-1
Werder Bremen,Hamburger SV,1-1
Bor. Mönchengladbach,Bayern München,1-3
FC Nürnberg,Hamburger SV,2-1
FSV Mainz 05,FC Köln,4-2
VfB Stuttgart,MSV Duisburg,0-1
Borussia Dortmund,VfL Wolfsburg,3-2
Bayer Leverkusen,Eintracht Frankfurt,2-1
Hertha BSC,Hannover 96,1-1
FC Kaiserslautern,FC Schalke 04,0-2
Arminia Bielefeld,Werder Bremen,0-1
Eintracht Frankfurt,Hertha BSC,1-1
Bayern München,Bayer Leverkusen,1-0
FC Schalke 04,Borussia Dortmund,0-0
MSV Duisburg,FC Kaiserslautern,2-2
FC Köln,VfB Stuttgart,0-0
Werder Bremen,FSV Mainz 05,4-2
Hamburger SV,Arminia Bielefeld,2-1
VfL Wolfsburg,Bor. Mönchengladbach,2-0
Hannover 96,FC Nürnberg,1-1
FC Kaiserslautern,FC Köln,2-2
Borussia Dortmund,MSV Duisburg,2-0
Hertha BSC,Bayern München,0-0
FSV Mainz 05,Arminia Bielefeld,1-1
Hannover 96,Hamburger SV,2-1
Bor. Mönchengladbach,FC Schalke 04,0-0
Bayer Leverkusen,VfL Wolfsburg,4-0
FC Nürnberg,Eintracht Frankfurt,0-1
VfB Stuttgart,Werder Bremen,0-0
VfL Wolfsburg,Hertha BSC,1-1
FC Schalke 04,Bayer Leverkusen,7-4
MSV Duisburg,Bor. Mönchengladbach,1-1
Werder Bremen,FC Kaiserslautern,0-2
Arminia Bielefeld,VfB Stuttgart,2-1
Hamburger SV,FSV Mainz 05,1-0
Eintracht Frankfurt,Hannover 96,0-1
FC Köln,Borussia Dortmund,0-0
Bayern München,FC Nürnberg,2-1
Bor. Mönchengladbach,FC Köln,2-0
Bayer Leverkusen,MSV Duisburg,3-2
Hertha BSC,FC Schalke 04,1-2
FC Nürnberg,VfL Wolfsburg,1-0
Hannover 96,Bayern München,1-1
FC Kaiserslautern,Arminia Bielefeld,2-0
Borussia Dortmund,Werder Bremen,0-1
Eintracht Frankfurt,Hamburger SV,1-2
VfB Stuttgart,FSV Mainz 05,2-1
FC Köln,Bayer Leverkusen,0-3
Werder Bremen,Bor. Mönchengladbach,2-0
Arminia Bielefeld,Borussia Dortmund,1-0
FSV Mainz 05,FC Kaiserslautern,0-2
Bayern München,Eintracht Frankfurt,5-2
VfL Wolfsburg,Hannover 96,2-1
FC Schalke 04,FC Nürnberg,2-0
MSV Duisburg,Hertha BSC,2-1
Hamburger SV,VfB Stuttgart,0-2
Bayern München,Hamburger SV,1-2
Hertha BSC,FC Köln,2-4
FC Nürnberg,MSV Duisburg,3-0
Hannover 96,FC Schalke 04,1-2
Borussia Dortmund,FSV Mainz 05,1-1
Bayer Leverkusen,Werder Bremen,1-1
Eintracht Frankfurt,VfL Wolfsburg,1-1
Bor. Mönchengladbach,Arminia Bielefeld,2-0
FC Kaiserslautern,VfB Stuttgart,1-1
Werder Bremen,Hertha BSC,0-3
Arminia Bielefeld,Bayer Leverkusen,1-0
FSV Mainz 05,Bor. Mönchengladbach,3-0
VfB Stuttgart,Borussia Dortmund,0-0
VfL Wolfsburg,Bayern München,0-0
MSV Duisburg,Hannover 96,0-0
FC Köln,FC Nürnberg,3-4
FC Schalke 04,Eintracht Frankfurt,2-0
Hamburger SV,FC Kaiserslautern,3-0
VfL Wolfsburg,Hamburger SV,0-1
Hannover 96,FC Köln,1-0
Eintracht Frankfurt,MSV Duisburg,5-2
Borussia Dortmund,FC Kaiserslautern,2-1
Bor. Mönchengladbach,VfB Stuttgart,1-1
Bayer Leverkusen,FSV Mainz 05,1-2
FC Nürnberg,Werder Bremen,3-1
Bayern München,FC Schalke 04,3-0
Hertha BSC,Arminia Bielefeld,1-0
FSV Mainz 05,Hertha BSC,2-2
VfB Stuttgart,Bayer Leverkusen,0-2
Hamburger SV,Borussia Dortmund,2-4
FC Schalke 04,VfL Wolfsburg,2-2
MSV Duisburg,Bayern München,1-3
FC Köln,Eintracht Frankfurt,1-1
Werder Bremen,Hannover 96,5-0
FC Kaiserslautern,Bor. Mönchengladbach,3-0
Arminia Bielefeld,FC Nürnberg,0-0
Bayern München,FC Köln,2-2
VfL Wolfsburg,MSV Duisburg,1-1
Bor. Mönchengladbach,Borussia Dortmund,2-1
Bayer Leverkusen,FC Kaiserslautern,5-1
Hertha BSC,VfB Stuttgart,2-0
FC Nürnberg,FSV Mainz 05,3-0
Eintracht Frankfurt,Werder Bremen,0-1
FC Schalke 04,Hamburger SV,0-2
Hannover 96,Arminia Bielefeld,0-1
FC Kaiserslautern,Hertha BSC,0-2
Borussia Dortmund,Bayer Leverkusen,1-2
FC Köln,VfL Wolfsburg,3-0
Werder Bremen,Bayern München,3-0
Arminia Bielefeld,Eintracht Frankfurt,1-0
FSV Mainz 05,Hannover 96,0-0
VfB Stuttgart,FC Nürnberg,1-0
Hamburger SV,Bor. Mönchengladbach,2-0
MSV Duisburg,FC Schalke 04,1-1
MSV Duisburg,Hamburger SV,0-2
FC Schalke 04,FC Köln,1-1
