Ath Bilbao,Cadiz,1-0
Ath Madrid,Santander,2-1
Betis,Malaga,1-1
Mallorca,Villarreal,1-1
Osasuna,Barcelona,2-1
Zaragoza,Getafe,1-2
Getafe,La Coruna,1-2
Sociedad,Barcelona,0-2
Villarreal,Ath Madrid,1-1
Cadiz,Alaves,0-0
Celta,Ath Bilbao,0-1
Espanol,Osasuna,2-4
Malaga,Zaragoza,0-1
Real Madrid,Betis,0-0
Santander,Valencia,2-1
Sevilla,Mallorca,1-1
Barcelona,Getafe,3-1
Alaves,Celta,1-0
Ath Bilbao,Espanol,1-1
Betis,Santander,1-0
La Coruna,Malaga,2-1
Mallorca,Cadiz,1-0
Osasuna,Sociedad,2-0
Valencia,Villarreal,1-1
Zaragoza,Real Madrid,1-1
Ath Madrid,Sevilla,0-1
Ath Bilbao,Osasuna,1-0
Malaga,Barcelona,0-0
Villarreal,Betis,1-2
Cadiz,Ath Madrid,1-1
Celta,Mallorca,2-0
Espanol,Alaves,0-0
Getafe,Sociedad,2-1
Real Madrid,La Coruna,4-0
Santander,Zaragoza,0-0
Sevilla,Valencia,1-0
Barcelona,Real Madrid,1-1
Sociedad,Malaga,3-0
Zaragoza,Villarreal,0-1
Alaves,Ath Bilbao,0-0
Ath Madrid,Celta,0-3
Betis,Sevilla,2-1
La Coruna,Santander,2-0
Mallorca,Espanol,0-0
Osasuna,Getafe,0-4
Valencia,Cadiz,5-3
Cadiz,Betis,1-1
Celta,Valencia,0-1
Malaga,Getafe,1-2
Real Madrid,Sociedad,1-1
Alaves,Osasuna,1-2
Ath Bilbao,Mallorca,1-1
Espanol,Ath Madrid,1-1
Santander,Barcelona,2-2
Sevilla,Zaragoza,1-1
Villarreal,La Coruna,1-1
Barcelona,Villarreal,1-0
La Coruna,Sevilla,0-0
Mallorca,Alaves,0-0
Sociedad,Santander,1-0
Ath Madrid,Ath Bilbao,1-0
Betis,Celta,0-2
Getafe,Real Madrid,1-1
Osasuna,Malaga,1-1
Valencia,Espanol,4-0
Zaragoza,Cadiz,1-2
Alaves,Ath Madrid,0-1
Celta,Zaragoza,4-0
Villarreal,Sociedad,0-2
Ath Bilbao,Valencia,0-3
Cadiz,La Coruna,1-1
Espanol,Betis,2-0
Mallorca,Osasuna,0-1
Real Madrid,Malaga,2-1
Santander,Getafe,1-3
Barcelona,Cadiz,1-0
Betis,Ath Bilbao,1-1
La Coruna,Celta,0-2
Ath Madrid,Mallorca,0-1
Getafe,Villarreal,1-1
Malaga,Santander,2-3
Osasuna,Real Madrid,0-1
Sociedad,Sevilla,1-2
Valencia,Alaves,3-0
Zaragoza,Espanol,1-1
Alaves,Betis,2-0
Ath Bilbao,Zaragoza,1-0
Ath Madrid,Osasuna,0-1
Cadiz,Sociedad,2-2
Celta,Barcelona,0-1
Espanol,La Coruna,1-2
Mallorca,Valencia,2-1
Sevilla,Getafe,3-0
Villarreal,Malaga,2-1
Santander,Real Madrid,2-3
Barcelona,Espanol,2-0
Malaga,Sevilla,0-2
Valencia,Ath Madrid,1-1
Betis,Mallorca,2-1
Getafe,Cadiz,3-1
La Coruna,Ath Bilbao,1-2
Real Madrid,Villarreal,3-3
Santander,Osasuna,2-1
Sociedad,Celta,2-2
